Availability;DataSheetUrl;Description;FactoryStock;ImagePath;Category;LeadTime;LifecycleStatus;Manufacturer;ManufacturerPartNumber;Min;Mult;MouserPartNumber;AlternatePackagings;ProductDetailUrl;Reeling;ROHSStatus;SuggestedReplacement;MultiSimBlue;AvailabilityInStock
6 In Stock;https://www.mouser.com/datasheet/2/1386/Datasheet_MokuGo-3010034.pdf;Benchtop Oscilloscopes Moku:Go is a complete lab solution for engineers and students, featuring 10 instruments, a full range of connectivity and a 4-ch. power supply. An intuitive user interface (UI) is included for Windows and Mac.;0;https://www.mouser.com/images/liquidinstruments/images/MokuGo_1080_stormbg_SPL.jpg;Benchtop Oscilloscopes;13 Days;New at Mouser;Liquid Instruments;MOKU:GO M2 (STORM);1;1;792-MOKU-GO-M2-STM;None;https://eu.mouser.com/ProductDetail/Liquid-Instruments/MOKUGO-M2-STORM?qs=XAiT9M5g4x80PwRZZJGkxQ%3D%3D;False;RoHS Compliant;;0;6
16 In Stock;https://www.mouser.com/datasheet/2/1386/Datasheet_MokuGo-3010034.pdf;Benchtop Oscilloscopes Moku:Go is a complete lab solution for engineers and students, featuring 10 instruments and a full range of connectivity. An intuitive user interface (UI) is included for Windows and Mac.;0;https://www.mouser.com/images/liquidinstruments/images/MokuGo_1080_stormbg_SPL.jpg;Benchtop Oscilloscopes;11 Days;New at Mouser;Liquid Instruments;MOKU:GO M0 (STORM);1;1;792-MOKU-GO-M0-STM;None;https://eu.mouser.com/ProductDetail/Liquid-Instruments/MOKUGO-M0-STORM?qs=XAiT9M5g4x8MiKyz%2FUaNlw%3D%3D;False;RoHS Compliant;;0;16
5 In Stock;https://www.mouser.com/datasheet/2/1386/Datasheet_MokuGo-3010034.pdf;Benchtop Oscilloscopes Moku:Go is a complete lab solution for engineers and students, featuring 10 instruments, a full range of connectivity and a 2-ch. power supply. An intuitive user interface (UI) is included for Windows and Mac.;0;https://www.mouser.com/images/liquidinstruments/images/MokuGo_1080_stormbg_SPL.jpg;Benchtop Oscilloscopes;81 Days;New at Mouser;Liquid Instruments;MOKU:GO M1 (STORM);1;1;792-MOKU-GO-M1-STM;None;https://eu.mouser.com/ProductDetail/Liquid-Instruments/MOKUGO-M1-STORM?qs=XAiT9M5g4x%2FatIS4TiiBmg%3D%3D;False;RoHS Compliant;;0;5
5 In Stock;https://www.mouser.com/datasheet/2/707/2220_Datasheet_Nov_2020-3108205.pdf;Input Devices;0;None;Input Devices;49 Days;None;Storm Interface;2220-552016;1;1;491-2220-55201;None;https://eu.mouser.com/ProductDetail/Storm-Interface/2220-552016?qs=amGC7iS6iy8%2FQHX6z%2FWJxA%3D%3D;False;RoHS Compliant;;0;5
2 In Stock;;Input Devices 5000 Series Int & GFX keys;0;https://www.mouser.com/images/storminterface/images/FT4K090_SPL.jpg;Input Devices;0 Days;None;Storm Interface;FT4K0903;1;1;491-FT4K090;None;https://eu.mouser.com/ProductDetail/Storm-Interface/FT4K0903?qs=X772OquulpU0Ta%2F0qhV7VQ%3D%3D;False;RoHS Compliant;;0;2
25 In Stock;https://www.mouser.com/datasheet/2/707/ile-1440156186-1131984.pdf;Switch Cases / Switch Covers 700 Series 12 Keys Grey;0;https://www.mouser.com/images/storminterface/images/700_series_12-key_SPL.jpg;Switch Cases / Switch Covers;60 Days;None;Storm Interface;70120103;1;1;491-7012010;None;https://eu.mouser.com/ProductDetail/Storm-Interface/70120103?qs=X772OquulpU2VHsQeqiWIw%3D%3D;False;RoHS Compliant;;0;25
49 In Stock;https://www.mouser.com/datasheet/2/707/ile-1440156186-1131984.pdf;Switch Cases / Switch Covers 700 Series 16 Keys Black;0;https://www.mouser.com/images/storminterface/images/700_series_16-key_SPL.jpg;Switch Cases / Switch Covers;27 Days;None;Storm Interface;70160203;1;1;491-7016020;None;https://eu.mouser.com/ProductDetail/Storm-Interface/70160203?qs=X772OquulpWOB%2FC%252BbEQzFg%3D%3D;False;RoHS Compliant;;0;49
11 In Stock;https://www.mouser.com/datasheet/2/707/ile-1440156186-1131984.pdf;Switch Cases / Switch Covers 700 Series tile set A;0;https://www.mouser.com/images/storminterface/images/70A0010_SPL.jpg;Switch Cases / Switch Covers;0 Days;None;Storm Interface;70A00103;1;1;491-70A0010;None;https://eu.mouser.com/ProductDetail/Storm-Interface/70A00103?qs=X772OquulpXfZc%252BOXWyjKg%3D%3D;False;RoHS Compliant;;0;11
64 In Stock;https://www.mouser.com/datasheet/2/707/ile-1395244876-1131357.pdf;Input Devices PLX Series 12 Keys standard telephone;0;https://www.mouser.com/images/storminterface/images/PLX12T20_SPL.jpg;Input Devices;28 Days;None;Storm Interface;PLX12T203;1;1;491-PLX12T20;None;https://eu.mouser.com/ProductDetail/Storm-Interface/PLX12T203?qs=X772OquulpVvEvC0vE4QfQ%3D%3D;False;RoHS Compliant;;0;64
9 In Stock;https://www.mouser.com/datasheet/2/707/Storm-Interface-1285346.pdf;Input Devices Nav-Pad Audio, 6 Key keypad with audio;0;https://www.mouser.com/images/storminterface/images/EZ06-230013.jpg;Input Devices;70 Days;None;Storm Interface;EZ06-23001;1;1;491-EZ06-23001;None;https://eu.mouser.com/ProductDetail/Storm-Interface/EZ06-23001?qs=VO84H151%252BnO5gsGLBqt%252BuQ%3D%3D;False;RoHS Compliant;;0;9
32 In Stock;https://www.mouser.com/datasheet/2/707/ile-1395244876-1131357.pdf;Input Devices 1000 Series 12 Keys calc;0;https://www.mouser.com/images/storminterface/images/1K12010_SPL.jpg;Input Devices;63 Days;None;Storm Interface;1K120103;1;1;491-1K12010;None;https://eu.mouser.com/ProductDetail/Storm-Interface/1K120103?qs=X772OquulpUy92SctTdq7w%3D%3D;False;RoHS Compliant;;0;32
6 In Stock;https://www.mouser.com/datasheet/2/707/ile-1396360153-1131927.pdf;Input Devices StrikeMaster;0;https://www.mouser.com/images/storminterface/images/DE1KT10_SPL.jpg;Input Devices;22 Days;None;Storm Interface;DE1KT103;1;1;491-DE1KT10;None;https://eu.mouser.com/ProductDetail/Storm-Interface/DE1KT103?qs=ZHnit%2F3SKro9MgNL3CdF4Q%3D%3D;False;RoHS Compliant;;0;6
24 In Stock;https://www.mouser.com/datasheet/2/707/File-1396358420-1888448.pdf;Input Devices 1000 Series 16 Keys calc;0;https://www.mouser.com/images/storminterface/images/1K16010_SPL.jpg;Input Devices;69 Days;None;Storm Interface;1K160103;1;1;491-1K16010;None;https://eu.mouser.com/ProductDetail/Storm-Interface/1K160103?qs=X772OquulpU%2Fg0%252Btm9mrCg%3D%3D;False;RoHS Compliant;;0;24
6 In Stock;https://www.mouser.com/datasheet/2/707/Storm-Interface-1285346.pdf;Input Devices Nav-Pad Audio, 6 Key keypad with audio;0;https://www.mouser.com/images/storminterface/images/EZ08-230013.jpg;Input Devices;21 Days;None;Storm Interface;EZ08-23001;1;1;491-EZ08-23001;None;https://eu.mouser.com/ProductDetail/Storm-Interface/EZ08-23001?qs=VO84H151%252BnPRh3DxkxNB3w%3D%3D;False;RoHS Compliant;;0;6
219 In Stock;https://www.mouser.com/datasheet/2/707/storm_Nav-Bar_Panel-1219481.pdf;Input Devices 6 Key Nav-Bar Surface Mount;0;https://www.mouser.com/images/storminterface/images/EZB6-730003_SPL.jpg;Input Devices;0 Days;None;Storm Interface;EZB6-730003;1;1;491-EZB6-730003;None;https://eu.mouser.com/ProductDetail/Storm-Interface/EZB6-730003?qs=j%252B1pi9TdxUZpvXgfyyK1Jg%3D%3D;False;RoHS Compliant;;0;219
72 In Stock;https://www.mouser.com/datasheet/2/707/File-1396358420-1888448.pdf;Input Devices 1000 Series 12 Keys stnd tele;0;https://www.mouser.com/images/storminterface/images/1K12T10_SPL.jpg;Input Devices;29 Days;None;Storm Interface;1K12T103;1;1;491-1K12T10;None;https://eu.mouser.com/ProductDetail/Storm-Interface/1K12T103?qs=X772OquulpVD0glE%2FtDTbQ%3D%3D;False;RoHS Compliant;;0;72
66 In Stock;https://www.mouser.com/datasheet/2/707/ile_1410971337-1131508.pdf;Modules Accessories 5000 Series bezel (w/o LCD);0;https://www.mouser.com/images/storminterface/images/5001-20010_SPL.jpg;Modules Accessories;24 Days;None;Storm Interface;5001-200103;1;1;491-5001-20010;None;https://eu.mouser.com/ProductDetail/Storm-Interface/5001-200103?qs=X772OquulpU%2FenFkEOEOMQ%3D%3D;False;RoHS Compliant;;0;66
5 In Stock;https://www.mouser.com/datasheet/2/707/File_1465404470-2325377.pdf;Input Devices StrikeMaster ES Backlit Keypad;0;https://www.mouser.com/images/storminterface/images/DX2KW20_DSL.jpg;Input Devices;0 Days;None;Storm Interface;DX2KW203;1;1;491-DX2KW20;None;https://eu.mouser.com/ProductDetail/Storm-Interface/DX2KW203?qs=X772OquulpXnf%2FxRt0CStg%3D%3D;False;RoHS Compliant;;0;5
2 In Stock;https://www.mouser.com/datasheet/2/707/Storm-Interface-1132015.pdf;Input Devices DR2;0;https://www.mouser.com/images/storminterface/images/DR2KT20_SPL.jpg;Input Devices;0 Days;None;Storm Interface;DR2KT203;1;1;491-DR2KT20;None;https://eu.mouser.com/ProductDetail/Storm-Interface/DR2KT203?qs=ZHnit%2F3SKrq72RyMMVQvZw%3D%3D;False;RoHS Compliant;;0;2
17 In Stock;https://www.mouser.com/datasheet/2/707/ile-1439475975-1132043.pdf;Input Devices 3000 Series 16 Keys telephone;0;https://www.mouser.com/images/storminterface/images/3K16T10_SPL.jpg;Input Devices;0 Days;None;Storm Interface;3K16T103;1;1;491-3K16T10;None;https://eu.mouser.com/ProductDetail/Storm-Interface/3K16T103?qs=X772OquulpWhU90O78TAeg%3D%3D;False;RoHS Compliant;;0;17
33 In Stock;https://www.mouser.com/datasheet/2/707/ile-1440156186-1131984.pdf;Switch Cases / Switch Covers 700 Series 4 Keys Black;0;https://www.mouser.com/images/storminterface/images/700_series_4-key_SPL.jpg;Switch Cases / Switch Covers;20 Days;None;Storm Interface;70040203;1;1;491-7004020;None;https://eu.mouser.com/ProductDetail/Storm-Interface/70040203?qs=X772OquulpV%2FXAkJQ0gooQ%3D%3D;False;RoHS Compliant;;0;33
6 In Stock;https://www.mouser.com/datasheet/2/707/ile-1396360023-1290888.pdf;Input Devices 720TFX-i Series 12 Keys;0;https://www.mouser.com/images/storminterface/images/7203-12TW20_SPL.jpg;Input Devices;28 Days;None;Storm Interface;7203-12TW203;1;1;491-7203-12TW20;None;https://eu.mouser.com/ProductDetail/Storm-Interface/7203-12TW203?qs=ZHnit%2F3SKrrjqbj%252BrpB8Qg%3D%3D;False;RoHS Compliant;;0;6
3 In Stock;https://www.mouser.com/datasheet/2/707/ile-1440156186-1131984.pdf;Input Devices 720BLK Series 16 keys;0;https://www.mouser.com/images/storminterface/images/7202-16T020_SPL.jpg;Input Devices;48 Days;None;Storm Interface;7202-16T0203;1;1;491-7202-16T020;None;https://eu.mouser.com/ProductDetail/Storm-Interface/7202-16T0203?qs=ZHnit%2F3SKrpgCORUBklLBA%3D%3D;False;RoHS Compliant;;0;3
25 In Stock;https://www.mouser.com/datasheet/2/707/ile-1440156186-1131984.pdf;Switch Cases / Switch Covers 700 Series tile set B;0;https://www.mouser.com/images/storminterface/images/70B0010_SPL.jpg;Switch Cases / Switch Covers;30 Days;None;Storm Interface;70B00103;1;1;491-70B0010;None;https://eu.mouser.com/ProductDetail/Storm-Interface/70B00103?qs=X772OquulpVxdSZPCgdjeQ%3D%3D;False;RoHS Compliant;;0;25
13 In Stock;https://www.mouser.com/datasheet/2/707/ile-1396361279-1291017.pdf;Input Devices 720GFX-i Series 16 Keys;0;https://www.mouser.com/images/storminterface/images/7207-161W20_SPL.jpg;Input Devices;38 Days;None;Storm Interface;7207-161W203;1;1;491-7207-161W20;None;https://eu.mouser.com/ProductDetail/Storm-Interface/7207-161W203?qs=ZHnit%2F3SKrqwmM1TZ8q7YQ%3D%3D;False;RoHS Compliant;;0;13
4 In Stock;https://www.mouser.com/datasheet/2/707/ile-1440156186-1131984.pdf;Input Devices 720BLK Series 4 Keys;0;https://www.mouser.com/images/storminterface/images/7202-040020_SPL.jpg;Input Devices;48 Days;None;Storm Interface;7202-0400203;1;1;491-7202-040020;None;https://eu.mouser.com/ProductDetail/Storm-Interface/7202-0400203?qs=ZHnit%2F3SKrrUjFumaCbrBA%3D%3D;False;RoHS Compliant;;0;4
5 In Stock;https://www.mouser.com/datasheet/2/707/File-1396358420-1888448.pdf;Input Devices 1000 Series 4 function keys;0;https://www.mouser.com/images/storminterface/images/1K04210_SPL.jpg;Input Devices;27 Days;None;Storm Interface;1K042103;1;1;491-1K04210;None;https://eu.mouser.com/ProductDetail/Storm-Interface/1K042103?qs=ZHnit%2F3SKrref%2F%2Fmf5RLAg%3D%3D;False;RoHS Compliant;;0;5
32 In Stock;https://www.mouser.com/datasheet/2/707/ile-1440156186-1131984.pdf;Switch Cases / Switch Covers 700 Series 4 Keys Grey;0;https://www.mouser.com/images/storminterface/images/700_series_4-key_SPL.jpg;Switch Cases / Switch Covers;49 Days;None;Storm Interface;70040103;1;1;491-7004010;None;https://eu.mouser.com/ProductDetail/Storm-Interface/70040103?qs=X772OquulpVpCvpIaFResg%3D%3D;False;RoHS Compliant;;0;32
2 In Stock;;Input Devices 5000 Series Int & polymer keys;0;https://www.mouser.com/images/storminterface/images/FT2K080_SPL.jpg;Input Devices;42 Days;None;Storm Interface;FT2K0803;1;1;491-FT2K080;None;https://eu.mouser.com/ProductDetail/Storm-Interface/FT2K0803?qs=X772OquulpWSJNwV2x%252B%2FOg%3D%3D;False;RoHS Compliant;;0;2
1 In Stock;;Input Devices 5000 Series Int & metal keys;0;https://www.mouser.com/images/storminterface/images/FT1K080_SPL.jpg;Input Devices;42 Days;None;Storm Interface;FT1K0803;1;1;491-FT1K080;None;https://eu.mouser.com/ProductDetail/Storm-Interface/FT1K0803?qs=X772OquulpWd8TMyp1UqEQ%3D%3D;False;RoHS Compliant;;0;1
1 In Stock;https://www.mouser.com/datasheet/2/707/File_1477065199-2325330.pdf;Input Devices SF6000 16 metal keys;0;https://www.mouser.com/images/storminterface/images/8616-31002_SPL.jpg;Input Devices;0 Days;None;Storm Interface;8616-310023;1;1;491-8616-31002;None;https://eu.mouser.com/ProductDetail/Storm-Interface/8616-310023?qs=X772OquulpWgFI9u5MP7Dw%3D%3D;False;RoHS Compliant;;0;1
5 In Stock;https://www.mouser.com/datasheet/2/707/ile-1395244876-1131357.pdf;Input Devices PLX Series 4 function keys;0;https://www.mouser.com/images/storminterface/images/PLX04220_SPL.jpg;Input Devices;0 Days;None;Storm Interface;PLX042203;1;1;491-PLX04220;None;https://eu.mouser.com/ProductDetail/Storm-Interface/PLX042203?qs=X772OquulpXxyD0GmXEgYQ%3D%3D;False;RoHS Compliant;;0;5
2 In Stock;;Modules Accessories Ribbon Cable;0;https://www.mouser.com/images/storminterface/images/4200-10_SPL.jpg;Modules Accessories;35 Days;None;Storm Interface;4200-103;1;1;491-4200-10;None;https://eu.mouser.com/ProductDetail/Storm-Interface/4200-103?qs=X772OquulpXaX3c99fpcCg%3D%3D;False;RoHS Compliant;;0;2
16 In Stock;https://www.mouser.com/datasheet/2/707/ile-1396358361-1131619.pdf;Encoders 420 Series RS-232 Encoder;0;https://www.mouser.com/images/storminterface/images/4200-00_SPL.jpg;Encoders;35 Days;None;Storm Interface;4200-003;1;1;491-4200-00;None;https://eu.mouser.com/ProductDetail/Storm-Interface/4200-003?qs=X772OquulpUNrvOkELRD4w%3D%3D;False;RoHS Compliant;;0;16
3 In Stock;https://www.mouser.com/datasheet/2/707/ile-1396359713-1131667.pdf;Input Devices 2000 Series 12 Keys telephone;0;https://www.mouser.com/images/storminterface/images/2K12T10_SPL.jpg;Input Devices;45 Days;None;Storm Interface;2K12T103;1;1;491-2K12T10;None;https://eu.mouser.com/ProductDetail/Storm-Interface/2K12T103?qs=X772OquulpU%252B2%2FzAzRoEdQ%3D%3D;False;RoHS Compliant;;0;3
8 In Stock;https://www.mouser.com/datasheet/2/707/ile-1396359847-1131862.pdf;Encoders 450i Series USB Encoder;0;https://www.mouser.com/images/storminterface/images/4500-10_SPL.jpg;Encoders;18 Days;None;Storm Interface;4500-103;1;1;491-4500-10;None;https://eu.mouser.com/ProductDetail/Storm-Interface/4500-103?qs=ZHnit%2F3SKrpNs94JshQsRg%3D%3D;False;RoHS Compliant;;0;8
14 In Stock;https://www.mouser.com/datasheet/2/707/ile-1440156186-1131984.pdf;Switch Cases / Switch Covers 700 Series 12 Keys Black;0;https://www.mouser.com/images/storminterface/images/700_series_12-key_SPL.jpg;Switch Cases / Switch Covers;56 Days;None;Storm Interface;70120203;1;1;491-7012020;None;https://eu.mouser.com/ProductDetail/Storm-Interface/70120203?qs=X772OquulpWNQLuYBoGPpA%3D%3D;False;RoHS Compliant;;0;14
4 In Stock;https://www.mouser.com/datasheet/2/707/File-1396358420-1888448.pdf;Input Devices 1000 Series 16 Keys telephone;0;https://www.mouser.com/images/storminterface/images/1K16T10_SPL.jpg;Input Devices;35 Days;None;Storm Interface;1K16T103;1;1;491-1K16T10;None;https://eu.mouser.com/ProductDetail/Storm-Interface/1K16T103?qs=ZHnit%2F3SKrrTeviecMXycw%3D%3D;False;RoHS Compliant;;0;4
5 In Stock;https://www.mouser.com/datasheet/2/707/File-1396358420-1888448.pdf;Input Devices 1000 Series 4 cursor arrow keys;0;https://www.mouser.com/images/storminterface/images/1K04110_SPL.jpg;Input Devices;28 Days;None;Storm Interface;1K041103;1;1;491-1K04110;None;https://eu.mouser.com/ProductDetail/Storm-Interface/1K041103?qs=X772OquulpXnug7Cy8QqMA%3D%3D;False;RoHS Compliant;;0;5
3 In Stock;https://www.mouser.com/datasheet/2/707/ile-1420543271-1131957.pdf;Input Devices Nav-Pad 8 Key Matrix matrix;0;https://www.mouser.com/images/storminterface/images/EZ08_SPL.jpg;Input Devices;0 Days;None;Storm Interface;EZ08-210013;1;1;491-EZ08-21001;None;https://eu.mouser.com/ProductDetail/Storm-Interface/EZ08-210013?qs=X772OquulpXunmXDpydkMw%3D%3D;False;RoHS Compliant;;0;3
4 In Stock;https://www.mouser.com/datasheet/2/707/File_1553267814-2325391.pdf;Audio Modules AudioComm Microphone Module (Vertical, Silver);0;https://www.mouser.com/images/storminterface/images/AT02_series_t.jpg;Audio Modules;42 Days;None;Storm Interface;AT02-430016;1;1;491-AT02-430016;None;https://eu.mouser.com/ProductDetail/Storm-Interface/AT02-430016?qs=UkDUCjYnTB3NB3%252B92J0vzQ%3D%3D;False;RoHS Compliant;;0;4
5 In Stock;https://www.mouser.com/datasheet/2/707/ile_1410971337-1131508.pdf;Modules Accessories 5000 Series beze;0;https://www.mouser.com/images/storminterface/images/5001-20020_SPL.jpg;Modules Accessories;27 Days;None;Storm Interface;5001-200203;1;1;491-5001-20020;None;https://eu.mouser.com/ProductDetail/Storm-Interface/5001-200203?qs=X772OquulpWo5CGPKcnXag%3D%3D;False;RoHS Compliant;;0;5
1 In Stock;https://www.mouser.com/datasheet/2/707/Storm-Interface-541463.pdf;Sensor Hardware & Accessories Magnetic Door &Gate Lock;0;https://www.mouser.com/images/storminterface/images/DEGL1200_SPL.jpg;Sensor Hardware & Accessories;26 Days;None;Storm Interface;DEGL12003;1;1;491-DEGL1200;None;https://eu.mouser.com/ProductDetail/Storm-Interface/DEGL12003?qs=ZHnit%2F3SKrpotQNGMIfqiQ%3D%3D;False;RoHS Compliant;;0;1
6 In Stock;https://www.mouser.com/datasheet/2/707/ile-1396360023-1290888.pdf;Input Devices 720TFX Series 12 keys;0;https://www.mouser.com/images/storminterface/images/7203-12T020_SPL.jpg;Input Devices;0 Days;None;Storm Interface;7203-12T0203;1;1;491-7203-12T020;None;https://eu.mouser.com/ProductDetail/Storm-Interface/7203-12T0203?qs=ZHnit%2F3SKroSentKUxIC1w%3D%3D;False;RoHS Compliant;;0;6
2 In Stock;https://www.mouser.com/datasheet/2/707/File_1477065199-2325330.pdf;Input Devices SF6000 16 illuminated keys;0;https://www.mouser.com/images/storminterface/images/8616-41002_SPL.jpg;Input Devices;0 Days;None;Storm Interface;8616-410023;1;1;491-8616-41002;None;https://eu.mouser.com/ProductDetail/Storm-Interface/8616-410023?qs=X772OquulpXVDChBfBea7w%3D%3D;False;RoHS Compliant;;0;2
4 In Stock;https://www.mouser.com/datasheet/2/707/ile-1395244876-1131357.pdf;Input Devices PLX Series 16 Keys telephone;0;https://www.mouser.com/images/storminterface/images/PLX16T20_SPL.jpg;Input Devices;0 Days;None;Storm Interface;PLX16T203;1;1;491-PLX16T20;None;https://eu.mouser.com/ProductDetail/Storm-Interface/PLX16T203?qs=ZHnit%2F3SKrr9YFh6bAzKnw%3D%3D;False;RoHS Compliant;;0;4
28 In Stock;https://www.mouser.com/datasheet/2/707/ile-1439475975-1132043.pdf;Input Devices 3000 Series 4 c ursor arrow keys;0;https://www.mouser.com/images/storminterface/images/3K04110_SPL.jpg;Input Devices;38 Days;None;Storm Interface;3K041103;1;1;491-3K04110;None;https://eu.mouser.com/ProductDetail/Storm-Interface/3K041103?qs=X772OquulpU9pYw2y6tEAA%3D%3D;False;RoHS Compliant;;0;28
2 In Stock;https://www.mouser.com/datasheet/2/707/ile-1396359459-1131897.pdf;Switch Cases / Switch Covers Legend Tile Set A for GFXs;0;https://www.mouser.com/images/storminterface/images/GSA0T20_SPL.jpg;Switch Cases / Switch Covers;0 Days;None;Storm Interface;GSA0T203;1;1;491-GSA0T20;None;https://eu.mouser.com/ProductDetail/Storm-Interface/GSA0T203?qs=ZHnit%2F3SKrqsTWz6oEpbnw%3D%3D;False;RoHS Compliant;;0;2
1 In Stock;https://www.mouser.com/datasheet/2/707/ile-1439475975-1132043.pdf;Input Devices 3000 Series 16 Keys calc;0;https://www.mouser.com/images/storminterface/images/3K16010_SPL.jpg;Input Devices;0 Days;None;Storm Interface;3K160103;1;1;491-3K16010;None;https://eu.mouser.com/ProductDetail/Storm-Interface/3K160103?qs=X772OquulpVdIA%2FzB7mJrg%3D%3D;False;RoHS Compliant;;0;1
10 In Stock;https://www.mouser.com/datasheet/2/707/ile-1395244876-1131357.pdf;Input Devices PLX Series 12 Keys calc;0;https://www.mouser.com/images/storminterface/images/PLX12020_SPL.jpg;Input Devices;87 Days;None;Storm Interface;PLX120203;1;1;491-PLX12020;None;https://eu.mouser.com/ProductDetail/Storm-Interface/PLX120203?qs=X772OquulpXr8g5%2FiMNYLg%3D%3D;False;RoHS Compliant;;0;10
45 In Stock;https://www.mouser.com/datasheet/2/707/ile-1396359459-1131897.pdf;Switch Cases / Switch Covers Legend Tile Set B for GFXs;0;https://www.mouser.com/images/storminterface/images/GSB0T20_SPL.jpg;Switch Cases / Switch Covers;0 Days;None;Storm Interface;GSB0T203;1;1;491-GSB0T20;None;https://eu.mouser.com/ProductDetail/Storm-Interface/GSB0T203?qs=ZHnit%2F3SKrqa6gBw26fI%252Bg%3D%3D;False;RoHS Compliant;;0;45
1 In Stock;https://www.mouser.com/datasheet/2/707/ile-1396359713-1131667.pdf;Input Devices 2000 Series 12 Keys calc;0;https://www.mouser.com/images/storminterface/images/2K12010_SPL.jpg;Input Devices;0 Days;None;Storm Interface;2K120103;1;1;491-2K12010;None;https://eu.mouser.com/ProductDetail/Storm-Interface/2K120103?qs=X772OquulpWIk%2FIIusd5vQ%3D%3D;False;RoHS Compliant;;0;1
148 In Stock;;USB Cables / IEEE 1394 Cables USB Cable (90cm);0;https://www.mouser.com/images/storminterface/images/4500-01_SPL.jpg;USB Cables / IEEE 1394 Cables;0 Days;None;Storm Interface;4500-013;1;1;491-4500-01;None;https://eu.mouser.com/ProductDetail/Storm-Interface/4500-013?qs=X772OquulpVoYqrte43h9Q%3D%3D;False;RoHS Compliant;;0;148
12 In Stock;https://www.mouser.com/datasheet/2/707/ile-1395244876-1131357.pdf;Input Devices PLX Series 16 Keys calc;0;https://www.mouser.com/images/storminterface/images/PLX16020_SPL.jpg;Input Devices;0 Days;None;Storm Interface;PLX160203;1;1;491-PLX16020;None;https://eu.mouser.com/ProductDetail/Storm-Interface/PLX160203?qs=X772OquulpWnehTvQDjuQQ%3D%3D;False;RoHS Compliant;;0;12
2 In Stock;https://www.mouser.com/datasheet/2/707/ile-1439475975-1132043.pdf;Input Devices 3000 Series 4 f unction keys;0;https://www.mouser.com/images/storminterface/images/3K04210_SPL.jpg;Input Devices;0 Days;None;Storm Interface;3K042103;1;1;491-3K04210;None;https://eu.mouser.com/ProductDetail/Storm-Interface/3K042103?qs=X772OquulpVY04qv4b8b%252Bw%3D%3D;False;RoHS Compliant;;0;2
1 In Stock;https://www.mouser.com/datasheet/2/707/ile-1440156186-1131984.pdf;Switch Cases / Switch Covers 700 Series 16 Keys Grey;0;https://www.mouser.com/images/storminterface/images/700_series_16-key_SPL.jpg;Switch Cases / Switch Covers;0 Days;None;Storm Interface;70160103;1;1;491-7016010;None;https://eu.mouser.com/ProductDetail/Storm-Interface/70160103?qs=X772OquulpWgFZTYEpCS2A%3D%3D;False;RoHS Compliant;;0;1
2 In Stock;https://www.mouser.com/datasheet/2/707/ile-1440156186-1131984.pdf;Switch Cases / Switch Covers 700 Series tile set E;0;https://www.mouser.com/images/storminterface/images/70E0010_SPL.jpg;Switch Cases / Switch Covers;0 Days;None;Storm Interface;70E00103;1;1;491-70E0010;None;https://eu.mouser.com/ProductDetail/Storm-Interface/70E00103?qs=X772OquulpVyRR4sFboyhg%3D%3D;False;RoHS Compliant;;0;2
3 In Stock;https://www.mouser.com/datasheet/2/707/ile-1420543271-1131957.pdf;Input Devices Nav-Pad 5 Key Matrix matric;0;https://www.mouser.com/images/storminterface/images/EZ05_SPL.jpg;Input Devices;0 Days;None;Storm Interface;EZ05-210013;1;1;491-EZ05-21001;None;https://eu.mouser.com/ProductDetail/Storm-Interface/EZ05-210013?qs=X772OquulpWJCG26F1UVZw%3D%3D;False;RoHS Compliant;;0;3
22 In Stock;https://www.mouser.com/datasheet/2/707/ile-1396359713-1131667.pdf;Input Devices 2000 Series 4 cursor arrow keys;0;https://www.mouser.com/images/storminterface/images/2K04110_SPL.jpg;Input Devices;0 Days;None;Storm Interface;2K041103;1;1;491-2K04110;None;https://eu.mouser.com/ProductDetail/Storm-Interface/2K041103?qs=X772OquulpXd6VTiWGbjyQ%3D%3D;False;RoHS Compliant;;0;22
11 In Stock;;Tactile Switches Illuminated, USB Pointing Device;0;https://www.mouser.com/images/storminterface/images/1600_series_SPL.jpg;Tactile Switches;28 Days;None;Storm Interface;1605-33001;1;1;491-1605-33001;None;https://eu.mouser.com/ProductDetail/Storm-Interface/1605-33001?qs=lhkzy8lC%252BSs%252ByLICERSaEg%3D%3D;False;RoHS Compliant;;0;11
40 In Stock;https://www.mouser.com/datasheet/2/707/ile-1396359459-1131897.pdf;Switch Cases / Switch Covers Legend Tile Set F for GFXs;0;https://www.mouser.com/images/storminterface/images/GSF0T20_SPL.jpg;Switch Cases / Switch Covers;0 Days;None;Storm Interface;GSF0T203;1;1;491-GSF0T20;None;https://eu.mouser.com/ProductDetail/Storm-Interface/GSF0T203?qs=ZHnit%2F3SKrojbGUX%252B6F3PA%3D%3D;False;RoHS Compliant;;0;40
23 In Stock;https://www.mouser.com/datasheet/2/707/ile-1440156186-1131984.pdf;Switch Cases / Switch Covers 700 Series tile set F;0;https://www.mouser.com/images/storminterface/images/70F0010_SPL.jpg;Switch Cases / Switch Covers;0 Days;None;Storm Interface;70F00103;1;1;491-70F0010;None;https://eu.mouser.com/ProductDetail/Storm-Interface/70F00103?qs=X772OquulpXrLLQ1LAy5Yg%3D%3D;False;RoHS Compliant;;0;23
